firedrake 872543
firedrake;firedrake.__init__ 1529622
firedrake;firedrake.utility_meshes.SquareMesh;firedrake.utility_meshes.RectangleMesh 1804
firedrake;CreateMesh 1479
firedrake;CreateFunctionSpace 1456
firedrake;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__ 823
firedrake;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__ 9217
firedrake;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__;FunctionSpaceData: CreateElement 9884
firedrake;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__;firedrake.mesh.MeshTopology._facets 1488
firedrake;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__;firedrake.mesh.MeshTopology._facets;firedrake.mesh._Facets.__init__ 810
firedrake;CreateExtMesh 1077
firedrake;CreateExtMesh;firedrake.mesh.ExtrudedMeshTopology.__init__ 835
firedrake;CreateExtMesh;firedrake.functionspace.VectorFunctionSpace;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__ 6153
firedrake;CreateExtMesh;firedrake.extrusion_utils.make_extruded_coords 30653
firedrake;CreateExtMesh;firedrake.extrusion_utils.make_extruded_coords;ParLoopExecute 1118
firedrake;CreateExtMesh;firedrake.extrusion_utils.make_extruded_coords;ParLoopExecute;Parloop_Cells_wrap_pyop2_kernel_uniform_extrusion;pyop2.global_kernel.GlobalKernel.compile 34894
firedrake;firedrake.functionspace.MixedFunctionSpace 1353
firedrake;firedrake.variational_solver.LinearVariationalProblem.__init__;firedrake.ufl_expr.action 5165
firedrake;firedrake.variational_solver.LinearVariationalProblem.__init__;firedrake.variational_solver.NonlinearVariationalProblem.__init__;firedrake.ufl_expr.derivative;firedrake.function.Function.split 1005
firedrake;firedrake.variational_solver.LinearVariationalProblem.__init__;firedrake.variational_solver.NonlinearVariationalProblem.__init__;firedrake.ufl_expr.adjoint 11891
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.__init__ 1332
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.__init__;firedrake.assemble.allocate_matrix;firedrake.matrix_free.operators.ImplicitMatrixContext.__init__;firedrake.ufl_expr.action 4214
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.__init__;firedrake.assemble.allocate_matrix;firedrake.matrix_free.operators.ImplicitMatrixContext.__init__;firedrake.ufl_expr.adjoint 3177
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve 2056
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;MatView 1012
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit 17145
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__ 860
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__;FunctionSpaceData: CreateElement 6455
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;CreateFunctionSpace;firedrake.functionspace.MixedFunctionSpace 1301
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;CreateFunctionSpace;firedrake.functionspace.MixedFunctionSpace;CreateFunctionSpace;firedrake.functionspaceimpl.FunctionSpace.__init__;firedrake.functionspacedata.get_shared_data;firedrake.functionspacedata.FunctionSpaceData.__init__ 1419
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;firedrake.function.Function.__init__ 1068
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;firedrake.ufl_expr.adjoint 2296
firedrake;firedrake.variational_solver.NonlinearVariationalSolver.solve;SNESSolve;PCSetUp;HybridInit;firedrake.formmanipulation.split_form;firedrake.formmanipulation.ExtractSubBlock.split 3728
