Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_3/cells_4/hybridization_cg_params_warmed_up', parameters='hybridization_cg_params', p=3, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_3/cells_4/hybridization_cg_params_warmed_up_flame.txt:ascii_flamegraph', clean=False, verification=False)

Running:  warmed_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
    0 KSP Residual norm 6.136363451477e-01 
      Residual norms for firedrake_0_hybridization_ solve.
      0 KSP Residual norm 6.723988684541e+00 
      1 KSP Residual norm 2.252131041070e+01 
      2 KSP Residual norm 3.450739541773e+01 
      3 KSP Residual norm 7.129784750844e+01 
      4 KSP Residual norm 2.690016103527e+01 
      5 KSP Residual norm 2.644600509037e+01 
      6 KSP Residual norm 3.540326610628e+01 
      7 KSP Residual norm 3.636472361026e+01 
      8 KSP Residual norm 2.837656970981e+01 
      9 KSP Residual norm 2.470773343780e+01 
     10 KSP Residual norm 3.387670872072e+01 
     11 KSP Residual norm 2.394414163501e+01 
     12 KSP Residual norm 2.338234796283e+01 
     13 KSP Residual norm 1.727983778505e+01 
     14 KSP Residual norm 2.486353844961e+01 
     15 KSP Residual norm 2.147641852900e+01 
     16 KSP Residual norm 2.174258986264e+01 
     17 KSP Residual norm 1.796520371745e+01 
     18 KSP Residual norm 1.707380029246e+01 
     19 KSP Residual norm 1.259291994475e+01 
     20 KSP Residual norm 1.551439874083e+01 
     21 KSP Residual norm 1.671008470154e+01 
     22 KSP Residual norm 1.633195957546e+01 
     23 KSP Residual norm 1.198697506622e+01 
     24 KSP Residual norm 1.435834707871e+01 
     25 KSP Residual norm 1.178664755353e+01 
     26 KSP Residual norm 1.085620500394e+01 
     27 KSP Residual norm 1.055692820100e+01 
     28 KSP Residual norm 1.009986734534e+01 
     29 KSP Residual norm 9.694205989148e+00 
     30 KSP Residual norm 1.008031387830e+01 
     31 KSP Residual norm 9.901542515293e+00 
     32 KSP Residual norm 8.192808048584e+00 
     33 KSP Residual norm 7.474267157192e+00 
     34 KSP Residual norm 6.948946492747e+00 
     35 KSP Residual norm 7.125567479927e+00 
     36 KSP Residual norm 7.157756741431e+00 
     37 KSP Residual norm 8.135636354883e+00 
     38 KSP Residual norm 7.563579305364e+00 
     39 KSP Residual norm 6.062404285228e+00 
     40 KSP Residual norm 5.264679488299e+00 
     41 KSP Residual norm 4.521570701678e+00 
     42 KSP Residual norm 5.636222707153e+00 
     43 KSP Residual norm 5.501435795504e+00 
     44 KSP Residual norm 4.849191269509e+00 
     45 KSP Residual norm 4.453351363189e+00 
     46 KSP Residual norm 4.392105337366e+00 
     47 KSP Residual norm 4.240537707170e+00 
     48 KSP Residual norm 3.796179038327e+00 
     49 KSP Residual norm 3.279093863764e+00 
     50 KSP Residual norm 3.046463561084e+00 
     51 KSP Residual norm 3.320102507151e+00 
     52 KSP Residual norm 3.380043030437e+00 
     53 KSP Residual norm 3.270634537950e+00 
     54 KSP Residual norm 2.527584020953e+00 
     55 KSP Residual norm 2.473777442050e+00 
     56 KSP Residual norm 2.006454651693e+00 
     57 KSP Residual norm 1.914707853969e+00 
     58 KSP Residual norm 2.238171441808e+00 
     59 KSP Residual norm 2.136321233039e+00 
     60 KSP Residual norm 1.917141624656e+00 
     61 KSP Residual norm 1.610977242181e+00 
     62 KSP Residual norm 1.444389556740e+00 
     63 KSP Residual norm 1.333161714083e+00 
     64 KSP Residual norm 1.296353155142e+00 
     65 KSP Residual norm 1.285837403006e+00 
     66 KSP Residual norm 1.261099861265e+00 
     67 KSP Residual norm 1.179477453205e+00 
     68 KSP Residual norm 1.066740821377e+00 
     69 KSP Residual norm 9.357512739471e-01 
     70 KSP Residual norm 8.224262458596e-01 
     71 KSP Residual norm 8.119494541745e-01 
     72 KSP Residual norm 6.386690797866e-01 
     73 KSP Residual norm 6.133332561646e-01 
     74 KSP Residual norm 6.535691010860e-01 
     75 KSP Residual norm 5.982840701263e-01 
     76 KSP Residual norm 5.617668833193e-01 
     77 KSP Residual norm 4.846772724410e-01 
     78 KSP Residual norm 3.600912873759e-01 
     79 KSP Residual norm 3.177319577601e-01 
     80 KSP Residual norm 3.344981511758e-01 
     81 KSP Residual norm 3.596162470675e-01 
     82 KSP Residual norm 3.160066069262e-01 
     83 KSP Residual norm 2.385536535032e-01 
     84 KSP Residual norm 2.090634680919e-01 
     85 KSP Residual norm 1.866558164086e-01 
     86 KSP Residual norm 1.528588169856e-01 
     87 KSP Residual norm 1.364618265382e-01 
     88 KSP Residual norm 1.145351219721e-01 
     89 KSP Residual norm 1.108107863293e-01 
     90 KSP Residual norm 1.014056838967e-01 
     91 KSP Residual norm 7.901941721037e-02 
     92 KSP Residual norm 6.905530422069e-02 
     93 KSP Residual norm 5.343534549750e-02 
     94 KSP Residual norm 4.102794369527e-02 
