Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up', parameters='hybridization_cg_params', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
    0 KSP Residual norm 4.542391249338e-01 
      Residual norms for firedrake_0_hybridization_ solve.
      0 KSP Residual norm 6.606729988448e+00 
      1 KSP Residual norm 2.449795052134e+01 
      2 KSP Residual norm 3.483231796698e+01 
      3 KSP Residual norm 5.331899451650e+01 
      4 KSP Residual norm 4.645294766917e+01 
      5 KSP Residual norm 4.944431604958e+01 
      6 KSP Residual norm 8.430648236291e+01 
      7 KSP Residual norm 6.046916904834e+01 
      8 KSP Residual norm 4.544617468169e+01 
      9 KSP Residual norm 3.497363817639e+01 
     10 KSP Residual norm 2.562055089438e+01 
     11 KSP Residual norm 4.005908128381e+01 
     12 KSP Residual norm 4.711953847315e+01 
     13 KSP Residual norm 4.724858794786e+01 
     14 KSP Residual norm 4.102331941540e+01 
     15 KSP Residual norm 3.441047412472e+01 
     16 KSP Residual norm 3.290098963049e+01 
     17 KSP Residual norm 3.906406649957e+01 
     18 KSP Residual norm 3.669158879426e+01 
     19 KSP Residual norm 2.994715822990e+01 
     20 KSP Residual norm 3.593343565251e+01 
     21 KSP Residual norm 3.315566470549e+01 
     22 KSP Residual norm 2.759285116738e+01 
     23 KSP Residual norm 2.372639605984e+01 
     24 KSP Residual norm 2.199019461705e+01 
     25 KSP Residual norm 2.167078194527e+01 
     26 KSP Residual norm 3.069281621508e+01 
     27 KSP Residual norm 3.058741391671e+01 
     28 KSP Residual norm 2.911566058819e+01 
     29 KSP Residual norm 2.745105456695e+01 
     30 KSP Residual norm 2.332766412416e+01 
     31 KSP Residual norm 1.957738662283e+01 
     32 KSP Residual norm 2.013413529046e+01 
     33 KSP Residual norm 1.867499414706e+01 
     34 KSP Residual norm 1.971718143033e+01 
     35 KSP Residual norm 2.028139445254e+01 
     36 KSP Residual norm 1.888722486280e+01 
     37 KSP Residual norm 2.026666984638e+01 
     38 KSP Residual norm 1.882804926513e+01 
     39 KSP Residual norm 1.788438350051e+01 
     40 KSP Residual norm 1.830085679136e+01 
     41 KSP Residual norm 1.620650857050e+01 
     42 KSP Residual norm 1.512758060137e+01 
     43 KSP Residual norm 1.639215022497e+01 
     44 KSP Residual norm 1.444883980088e+01 
     45 KSP Residual norm 1.514381467176e+01 
     46 KSP Residual norm 1.336387484411e+01 
     47 KSP Residual norm 1.209578000756e+01 
     48 KSP Residual norm 1.189892892755e+01 
     49 KSP Residual norm 1.308594854016e+01 
     50 KSP Residual norm 1.500424836752e+01 
     51 KSP Residual norm 1.461007108199e+01 
     52 KSP Residual norm 1.262342415190e+01 
     53 KSP Residual norm 1.128796133391e+01 
     54 KSP Residual norm 1.020687532055e+01 
     55 KSP Residual norm 9.728696285535e+00 
     56 KSP Residual norm 9.967188781351e+00 
     57 KSP Residual norm 8.798662804769e+00 
     58 KSP Residual norm 9.599735283588e+00 
     59 KSP Residual norm 9.987893944390e+00 
     60 KSP Residual norm 1.005795786272e+01 
     61 KSP Residual norm 9.627632088802e+00 
     62 KSP Residual norm 9.405364148250e+00 
     63 KSP Residual norm 8.436990755214e+00 
     64 KSP Residual norm 8.833978478804e+00 
     65 KSP Residual norm 8.219131032638e+00 
     66 KSP Residual norm 7.726694851458e+00 
     67 KSP Residual norm 7.296420092036e+00 
     68 KSP Residual norm 6.733066885026e+00 
     69 KSP Residual norm 6.510197134563e+00 
     70 KSP Residual norm 6.844033869083e+00 
     71 KSP Residual norm 7.231816261983e+00 
     72 KSP Residual norm 7.415069988495e+00 
     73 KSP Residual norm 6.463961768270e+00 
     74 KSP Residual norm 6.199835034692e+00 
     75 KSP Residual norm 6.189735204239e+00 
     76 KSP Residual norm 5.556659875576e+00 
     77 KSP Residual norm 5.478648764089e+00 
     78 KSP Residual norm 5.601370776067e+00 
     79 KSP Residual norm 4.906690915142e+00 
     80 KSP Residual norm 4.513496794590e+00 
     81 KSP Residual norm 4.247820326222e+00 
     82 KSP Residual norm 4.197944685209e+00 
     83 KSP Residual norm 4.662383484522e+00 
     84 KSP Residual norm 4.616156182385e+00 
     85 KSP Residual norm 4.178380595977e+00 
     86 KSP Residual norm 4.237637374000e+00 
     87 KSP Residual norm 4.135164391121e+00 
     88 KSP Residual norm 3.567825719454e+00 
     89 KSP Residual norm 3.307764984518e+00 
     90 KSP Residual norm 3.147801573237e+00 
     91 KSP Residual norm 3.067607759094e+00 
     92 KSP Residual norm 2.889363631078e+00 
     93 KSP Residual norm 2.696848569534e+00 
     94 KSP Residual norm 2.849169385442e+00 
     95 KSP Residual norm 2.995095964385e+00 
     96 KSP Residual norm 2.798754703192e+00 
     97 KSP Residual norm 2.666169017438e+00 
     98 KSP Residual norm 2.638351030116e+00 
     99 KSP Residual norm 2.465809185782e+00 
    100 KSP Residual norm 2.454001795000e+00 
    101 KSP Residual norm 1.981611754796e+00 
    102 KSP Residual norm 1.809522457630e+00 
    103 KSP Residual norm 1.769631686202e+00 
