Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case1/trafo_none/order_4/cells_3/hybridization_global_matfree_cg_warm_up', parameters='hybridization_global_matfree_cg', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=3, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case1/trafo_none/order_4/cells_3/hybridization_global_matfree_cg_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_global_matfree_cg

    Residual norms for firedrake_0_ solve.
    0 KSP Residual norm 6.993724002535e-01 
      Residual norms for firedrake_0_hybridization_ solve.
      0 KSP Residual norm 4.915596173916e+00 
      1 KSP Residual norm 1.774384420964e+01 
      2 KSP Residual norm 2.403919993928e+01 
      3 KSP Residual norm 3.515160496467e+01 
      4 KSP Residual norm 2.908792465170e+01 
      5 KSP Residual norm 3.225763837961e+01 
      6 KSP Residual norm 4.861032398875e+01 
      7 KSP Residual norm 3.377153838902e+01 
      8 KSP Residual norm 2.660575424263e+01 
      9 KSP Residual norm 2.055750657751e+01 
     10 KSP Residual norm 1.549110935494e+01 
     11 KSP Residual norm 2.269862995693e+01 
     12 KSP Residual norm 2.639068997586e+01 
     13 KSP Residual norm 2.771826929133e+01 
     14 KSP Residual norm 2.263432896565e+01 
     15 KSP Residual norm 1.910912521266e+01 
     16 KSP Residual norm 1.815152839720e+01 
     17 KSP Residual norm 2.068144920649e+01 
     18 KSP Residual norm 1.947534470415e+01 
     19 KSP Residual norm 1.666301742592e+01 
     20 KSP Residual norm 1.776140774415e+01 
     21 KSP Residual norm 1.798431301343e+01 
     22 KSP Residual norm 1.484904216193e+01 
     23 KSP Residual norm 1.163236688715e+01 
     24 KSP Residual norm 1.143474188939e+01 
     25 KSP Residual norm 1.099200865380e+01 
     26 KSP Residual norm 1.428550151257e+01 
     27 KSP Residual norm 1.546486004734e+01 
     28 KSP Residual norm 1.420225610236e+01 
     29 KSP Residual norm 1.315524575606e+01 
     30 KSP Residual norm 1.147748919933e+01 
     31 KSP Residual norm 9.242887613199e+00 
     32 KSP Residual norm 9.443345669581e+00 
     33 KSP Residual norm 8.197696304250e+00 
     34 KSP Residual norm 9.066594136619e+00 
     35 KSP Residual norm 9.243565827200e+00 
     36 KSP Residual norm 7.690085904094e+00 
     37 KSP Residual norm 8.880632587616e+00 
     38 KSP Residual norm 8.637158101014e+00 
     39 KSP Residual norm 7.642416603252e+00 
     40 KSP Residual norm 7.612125935374e+00 
     41 KSP Residual norm 7.091304343778e+00 
     42 KSP Residual norm 6.055700629790e+00 
     43 KSP Residual norm 6.495936364703e+00 
     44 KSP Residual norm 6.436117682962e+00 
     45 KSP Residual norm 6.067857317023e+00 
     46 KSP Residual norm 5.066031322666e+00 
     47 KSP Residual norm 4.862962213216e+00 
     48 KSP Residual norm 4.883581520412e+00 
     49 KSP Residual norm 5.071610892910e+00 
     50 KSP Residual norm 5.452517121450e+00 
     51 KSP Residual norm 5.653002606047e+00 
     52 KSP Residual norm 4.777345518519e+00 
     53 KSP Residual norm 4.100328374675e+00 
     54 KSP Residual norm 3.885024052983e+00 
     55 KSP Residual norm 3.556331573664e+00 
     56 KSP Residual norm 3.474509865495e+00 
     57 KSP Residual norm 3.290725490188e+00 
     58 KSP Residual norm 3.206446306727e+00 
     59 KSP Residual norm 3.382940194793e+00 
     60 KSP Residual norm 3.481999191318e+00 
     61 KSP Residual norm 3.035334391837e+00 
     62 KSP Residual norm 3.007316313783e+00 
     63 KSP Residual norm 2.804189031222e+00 
     64 KSP Residual norm 2.734700693773e+00 
     65 KSP Residual norm 2.464281223502e+00 
     66 KSP Residual norm 2.336253421080e+00 
     67 KSP Residual norm 2.209349553269e+00 
     68 KSP Residual norm 2.028990910339e+00 
     69 KSP Residual norm 1.760805476181e+00 
     70 KSP Residual norm 1.772344779061e+00 
     71 KSP Residual norm 1.950438932801e+00 
     72 KSP Residual norm 1.839340295916e+00 
     73 KSP Residual norm 1.657270516160e+00 
     74 KSP Residual norm 1.513088631992e+00 
     75 KSP Residual norm 1.480165699820e+00 
     76 KSP Residual norm 1.336835356279e+00 
     77 KSP Residual norm 1.314109134268e+00 
     78 KSP Residual norm 1.216413369085e+00 
     79 KSP Residual norm 1.145709810915e+00 
     80 KSP Residual norm 9.717790008429e-01 
     81 KSP Residual norm 8.605383234353e-01 
     82 KSP Residual norm 8.723050049049e-01 
     83 KSP Residual norm 8.739563410789e-01 
     84 KSP Residual norm 9.246060978493e-01 
     85 KSP Residual norm 7.586920874072e-01 
     86 KSP Residual norm 7.757873697870e-01 
     87 KSP Residual norm 6.942685255554e-01 
     88 KSP Residual norm 6.343006423854e-01 
     89 KSP Residual norm 5.425862337365e-01 
     90 KSP Residual norm 5.133245068339e-01 
     91 KSP Residual norm 4.730291253691e-01 
     92 KSP Residual norm 4.119686462329e-01 
     93 KSP Residual norm 3.969251549528e-01 
     94 KSP Residual norm 3.883043447171e-01 
     95 KSP Residual norm 3.817187134879e-01 
     96 KSP Residual norm 3.688795380248e-01 
     97 KSP Residual norm 3.165303675611e-01 
     98 KSP Residual norm 3.167162931185e-01 
     99 KSP Residual norm 2.833417796982e-01 
    100 KSP Residual norm 2.544468486315e-01 
    101 KSP Residual norm 2.047944753250e-01 
    102 KSP Residual norm 1.756449513074e-01 
    103 KSP Residual norm 1.511532925795e-01 
    104 KSP Residual norm 1.509349926225e-01 
    105 KSP Residual norm 1.264524251269e-01 
    106 KSP Residual norm 1.212943879239e-01 
    107 KSP Residual norm 1.098710368965e-01 
    108 KSP Residual norm 1.062938588959e-01 
    109 KSP Residual norm 9.240641995656e-02 
    110 KSP Residual norm 9.038368654910e-02 
    111 KSP Residual norm 7.187571315470e-02 
    112 KSP Residual norm 6.242302368577e-02 
    113 KSP Residual norm 4.802858881009e-02 
    114 KSP Residual norm 4.160868700533e-02 
    115 KSP Residual norm 3.764342446701e-02 
    116 KSP Residual norm 3.369981807916e-02 
    117 KSP Residual norm 2.826289533323e-02 
    118 KSP Residual norm 2.307990271336e-02 
    119 KSP Residual norm 1.897636942343e-02 
    120 KSP Residual norm 1.658261411801e-02 
    121 KSP Residual norm 1.560398994622e-02 
    122 KSP Residual norm 1.577012309579e-02 
    123 KSP Residual norm 1.365218769787e-02 
    124 KSP Residual norm 1.314570208718e-02 
    125 KSP Residual norm 1.151669703833e-02 
    126 KSP Residual norm 1.083097522732e-02 
    127 KSP Residual norm 9.216134305009e-03 
    128 KSP Residual norm 8.608516034590e-03 
    129 KSP Residual norm 8.485036747056e-03 
    130 KSP Residual norm 9.324988850464e-03 
    131 KSP Residual norm 9.824435023059e-03 
    132 KSP Residual norm 1.063991191890e-02 
    133 KSP Residual norm 1.004980415040e-02 
    134 KSP Residual norm 9.877265940482e-03 
    135 KSP Residual norm 8.959953681685e-03 
    136 KSP Residual norm 6.934052708934e-03 
    137 KSP Residual norm 5.947993939609e-03 
    138 KSP Residual norm 5.316545888714e-03 
    139 KSP Residual norm 4.353247552925e-03 
    140 KSP Residual norm 3.504294555738e-03 
    141 KSP Residual norm 2.516865556748e-03 
    142 KSP Residual norm 2.155054479903e-03 
    143 KSP Residual norm 1.694817219859e-03 
    144 KSP Residual norm 1.380309254315e-03 
    145 KSP Residual norm 1.111913405613e-03 
    146 KSP Residual norm 1.119452677147e-03 
    147 KSP Residual norm 9.032822262760e-04 
    148 KSP Residual norm 8.777654902091e-04 
    149 KSP Residual norm 1.063857445283e-03 
    150 KSP Residual norm 1.131981844230e-03 
    151 KSP Residual norm 9.465183025206e-04 
    152 KSP Residual norm 8.915770282802e-04 
    153 KSP Residual norm 7.475083220563e-04 
    154 KSP Residual norm 5.813108880259e-04 
    155 KSP Residual norm 5.502095123797e-04 
    156 KSP Residual norm 5.198070524355e-04 
    157 KSP Residual norm 3.751131603332e-04 
    158 KSP Residual norm 2.984366269285e-04 
    159 KSP Residual norm 2.766355213209e-04 
    160 KSP Residual norm 2.402895160415e-04 
    161 KSP Residual norm 1.967996520092e-04 
    162 KSP Residual norm 1.813982162567e-04 
    163 KSP Residual norm 1.629129425352e-04 
    164 KSP Residual norm 1.425797552251e-04 
    165 KSP Residual norm 1.367962989358e-04 
    166 KSP Residual norm 1.403007594417e-04 
    167 KSP Residual norm 1.289877316494e-04 
    168 KSP Residual norm 1.125051936046e-04 
    169 KSP Residual norm 1.072080048628e-04 
    170 KSP Residual norm 8.985945496089e-05 
    171 KSP Residual norm 7.029351777733e-05 
    172 KSP Residual norm 6.687947536551e-05 
    173 KSP Residual norm 5.551989693415e-05 
    174 KSP Residual norm 4.616924957068e-05 
    175 KSP Residual norm 4.939315968203e-05 
    176 KSP Residual norm 4.297067254844e-05 
    177 KSP Residual norm 4.547314890493e-05 
    178 KSP Residual norm 4.373113678818e-05 
    179 KSP Residual norm 3.373549097771e-05 
    180 KSP Residual norm 3.281791690962e-05 
    181 KSP Residual norm 3.132711706303e-05 
    182 KSP Residual norm 2.715483472747e-05 
    183 KSP Residual norm 2.770504092295e-05 
    184 KSP Residual norm 2.545248735288e-05 
    185 KSP Residual norm 2.223744525619e-05 
    186 KSP Residual norm 1.996894416295e-05 
    187 KSP Residual norm 1.851452838892e-05 
    188 KSP Residual norm 1.688499842333e-05 
    189 KSP Residual norm 1.446145781513e-05 
    190 KSP Residual norm 1.279862724449e-05 
